Lock Chip,Over Blade,Main/Metal Blade (CX) / Blade (UX/BX),Assist Blade,Ratchet,Bit,Points,Sample Size (Win Count),Combo Rank,Rank Change,Lock Chip Usage (Sample Size),Over Blade Usage (Sample Size),Main/Metal Blade (CX) / Blade (UX/BX) Usage (Sample Size),Assist Blade Usage (Sample Size),Ratchet Usage (Sample Size),Bit Usage (Sample Size),Blade Rank,Assist Blade Rank,Ratchet Rank,Bit Rank,Combo ID,,Lock Chip Name,Lock Chip Points,,Over Blade Name,Over Blade Points,,Main/Metal Blade (CX) / Blade (UX/BX) Name,Main/Metal Blade (CX) / Blade (UX/BX) Points,,Assist Blade Name,Assist Blade Points,,Ratchet Name,Ratchet Points,,Bit Name,Bit Points
,,GolemRock,,6-60,WallWedge,1,1,214,New,,,37,,53,5,10,,7,23,None-None-GolemRock-None-6-60-WallWedge,,,,,,,,,,,,,,,,,,
,,GolemRock,,1-60,UnderNeedle,1,1,214,New,,,37,,539,19,10,,1,13,None-None-GolemRock-None-1-60-UnderNeedle,,,,,,,,,,,,,,,,,,
,,GolemRock,,6-60,Hexa,1,1,214,New,,,37,,53,354,10,,7,2,None-None-GolemRock-None-6-60-Hexa,,,,,,,,,,,,,,,,,,
,,GolemRock,,1-60,LowRush,1,1,214,New,,,37,,539,366,10,,1,1,None-None-GolemRock-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,GolemRock,,1-60,Kick,1,1,214,New,,,37,,539,153,10,,1,5,None-None-GolemRock-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,GolemRock,,1-70,Hexa,1,1,214,New,,,37,,198,354,10,,4,2,None-None-GolemRock-None-1-70-Hexa,,,,,,,,,,,,,,,,,,
,,GolemRock,,9-60,LowRush,1,1,214,New,,,37,,383,366,10,,2,1,None-None-GolemRock-None-9-60-LowRush,,,,,,,,,,,,,,,,,,
,,GolemRock,,6-60,FreeBall,1,1,214,⬇️ 23,,,37,,53,197,10,,7,4,None-None-GolemRock-None-6-60-FreeBall,,,,,,,,,,,,,,,,,,
,,GolemRock,,3-60,Rush,1,1,214,New,,,37,,279,256,10,,3,3,None-None-GolemRock-None-3-60-Rush,,,,,,,,,,,,,,,,,,
,,GolemRock,,6-60,Kick,1,1,214,New,,,37,,53,153,10,,7,5,None-None-GolemRock-None-6-60-Kick,,,,,,,,,,,,,,,,,,
,,GolemRock,,1-60,Level,1,1,214,New,,,37,,539,153,10,,1,5,None-None-GolemRock-None-1-60-Level,,,,,,,,,,,,,,,,,,
,,GolemRock,,3-60,Vortex,1,1,214,New,,,37,,279,2,10,,3,28,None-None-GolemRock-None-3-60-Vortex,,,,,,,,,,,,,,,,,,
,,GolemRock,,7-60,WallWedge,1,1,214,New,,,37,,184,5,10,,5,23,None-None-GolemRock-None-7-60-WallWedge,,,,,,,,,,,,,,,,,,
,,GolemRock,,5-60,LowRush,1,1,214,New,,,37,,101,366,10,,6,1,None-None-GolemRock-None-5-60-LowRush,,,,,,,,,,,,,,,,,,
,,GolemRock,,9-60,Ball,1,1,214,New,,,37,,383,43,10,,2,10,None-None-GolemRock-None-9-60-Ball,,,,,,,,,,,,,,,,,,
,,GolemRock,,9-70,Wedge,1,1,214,⬇️ 23,,,37,,49,39,10,,9,11,None-None-GolemRock-None-9-70-Wedge,,,,,,,,,,,,,,,,,,
,,GolemRock,,7-60,Kick,1,1,214,New,,,37,,184,153,10,,5,5,None-None-GolemRock-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,GolemRock,,7-60,Hexa,1,1,214,⬇️ 23,,,37,,184,354,10,,5,2,None-None-GolemRock-None-7-60-Hexa,,,,,,,,,,,,,,,,,,
Metal,,Flare,Heavy,1-60,LowRush,1,1,214,New,,,11,91,539,366,19,1,1,1,Metal-None-Flare-Heavy-1-60-LowRush,,,,,,,,,,,,,,,,,,
Metal,,Flare,Heavy,5-60,Point,1,1,214,New,,,11,91,101,38,19,1,6,12,Metal-None-Flare-Heavy-5-60-Point,,,,,,,,,,,,,,,,,,
Metal,,Flare,Wheel,7-60,Point,1,1,214,New,,,11,22,184,38,19,2,5,12,Metal-None-Flare-Wheel-7-60-Point,,,,,,,,,,,,,,,,,,
,,CobaltDrake,,9-60,Rush,1,1,214,New,,,8,,383,256,21,,2,3,None-None-CobaltDrake-None-9-60-Rush,,,,,,,,,,,,,,,,,,
,,CobaltDrake,,9-60,Jolt,1,1,214,New,,,8,,383,74,21,,2,9,None-None-CobaltDrake-None-9-60-Jolt,,,,,,,,,,,,,,,,,,
,,CobaltDrake,,7-60,Wedge,1,1,214,New,,,8,,184,39,21,,5,11,None-None-CobaltDrake-None-7-60-Wedge,,,,,,,,,,,,,,,,,,
,,CobaltDrake,,4-55,Elevate,1,1,214,New,,,8,,11,117,21,,14,7,None-None-CobaltDrake-None-4-55-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDrake,,7-60,Elevate,1,1,214,New,,,8,,184,117,21,,5,7,None-None-CobaltDrake-None-7-60-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDrake,,9-60,Elevate,1,1,214,New,,,8,,383,117,21,,2,7,None-None-CobaltDrake-None-9-60-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDrake,,3-60,Elevate,1,1,214,New,,,8,,279,117,21,,3,7,None-None-CobaltDrake-None-3-60-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDrake,,4-60,Flat,1,1,214,New,,,8,,4,6,21,,18,21,None-None-CobaltDrake-None-4-60-Flat,,,,,,,,,,,,,,,,,,
,,DragoonStorm,,6-60,UnderFlat,1,1,214,New,,,1,,53,9,54,,7,17,None-None-DragoonStorm-None-6-60-UnderFlat,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,0-60,Hexa,1,1,214,New,,,22,,4,354,13,,18,2,None-None-ScorpioSpear-None-0-60-Hexa,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,9-70,Jolt,1,1,214,New,,,22,,49,74,13,,9,9,None-None-ScorpioSpear-None-9-70-Jolt,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,9-60,Level,1,1,214,⬇️ 23,,,22,,383,153,13,,2,5,None-None-ScorpioSpear-None-9-60-Level,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,9-60,UnderNeedle,1,1,214,New,,,22,,383,19,13,,2,13,None-None-ScorpioSpear-None-9-60-UnderNeedle,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,1-60,Level,1,1,214,New,,,22,,539,153,13,,1,5,None-None-ScorpioSpear-None-1-60-Level,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,9-70,Point,1,1,214,New,,,22,,49,38,13,,9,12,None-None-ScorpioSpear-None-9-70-Point,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,6-70,Orb,1,1,214,New,,,22,,3,6,13,,22,21,None-None-ScorpioSpear-None-6-70-Orb,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,6-70,WallBall,1,1,214,New,,,22,,3,10,13,,22,16,None-None-ScorpioSpear-None-6-70-WallBall,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,9-60,Point,1,1,214,⬇️ 23,,,22,,383,38,13,,2,12,None-None-ScorpioSpear-None-9-60-Point,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,3-70,WallBall,1,1,214,New,,,22,,13,10,13,,13,16,None-None-ScorpioSpear-None-3-70-WallBall,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,1-60,Kick,1,1,214,New,,,22,,539,153,13,,1,5,None-None-ScorpioSpear-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,9-60,Elevate,1,1,214,⬇️ 23,,,22,,383,117,13,,2,7,None-None-ScorpioSpear-None-9-60-Elevate,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,3-60,FreeBall,1,1,214,⬇️ 23,,,22,,279,197,13,,3,4,None-None-ScorpioSpear-None-3-60-FreeBall,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,3-60,Hexa,1,1,214,New,,,22,,279,354,13,,3,2,None-None-ScorpioSpear-None-3-60-Hexa,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,3-60,Point,1,1,214,New,,,22,,279,38,13,,3,12,None-None-ScorpioSpear-None-3-60-Point,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,3-60,LowRush,1,1,214,New,,,22,,279,366,13,,3,1,None-None-ScorpioSpear-None-3-60-LowRush,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,9-60,Taper,1,1,214,New,,,22,,383,17,13,,2,14,None-None-ScorpioSpear-None-9-60-Taper,,,,,,,,,,,,,,,,,,
,,ScorpioSpear,,3-60,Kick,1,1,214,New,,,22,,279,153,13,,3,5,None-None-ScorpioSpear-None-3-60-Kick,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,1-60,Level,1,1,214,New,,,14,,539,153,17,,1,5,None-None-SamuraiCalibur-None-1-60-Level,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,6-60,TransPoint,1,1,214,New,,,14,,53,2,17,,7,28,None-None-SamuraiCalibur-None-6-60-TransPoint,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,1-60,TransKick,1,1,214,New,,,14,,539,1,17,,1,34,None-None-SamuraiCalibur-None-1-60-TransKick,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,6-60,LowRush,1,1,214,New,,,14,,53,366,17,,7,1,None-None-SamuraiCalibur-None-6-60-LowRush,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,7-60,Hexa,1,1,214,New,,,14,,184,354,17,,5,2,None-None-SamuraiCalibur-None-7-60-Hexa,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,9-60,Rush,1,1,214,New,,,14,,383,256,17,,2,3,None-None-SamuraiCalibur-None-9-60-Rush,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,9-60,FreeBall,1,1,214,New,,,14,,383,197,17,,2,4,None-None-SamuraiCalibur-None-9-60-FreeBall,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,5-60,Unite,1,1,214,New,,,14,,101,12,17,,6,15,None-None-SamuraiCalibur-None-5-60-Unite,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,3-60,Ball,1,1,214,New,,,14,,279,43,17,,3,10,None-None-SamuraiCalibur-None-3-60-Ball,,,,,,,,,,,,,,,,,,
,,SamuraiCalibur,,1-70,FreeBall,1,1,214,New,,,14,,198,197,17,,4,4,None-None-SamuraiCalibur-None-1-70-FreeBall,,,,,,,,,,,,,,,,,,
,,SamuraiSaber,,9-60,Elevate,1,1,214,New,,,7,,383,117,24,,2,7,None-None-SamuraiSaber-None-9-60-Elevate,,,,,,,,,,,,,,,,,,
,,SamuraiSaber,,9-60,LowOrb,1,1,214,New,,,7,,383,85,24,,2,8,None-None-SamuraiSaber-None-9-60-LowOrb,,,,,,,,,,,,,,,,,,
,,SamuraiSaber,,0-70,Hexa,1,1,214,New,,,7,,2,354,24,,26,2,None-None-SamuraiSaber-None-0-70-Hexa,,,,,,,,,,,,,,,,,,
,,SharkEdge,,1-70,LowRush,1,1,214,New,,,14,,198,366,17,,4,1,None-None-SharkEdge-None-1-70-LowRush,,,,,,,,,,,,,,,,,,
,,SharkEdge,,7-60,LowRush,1,1,214,⬇️ 23,,,14,,184,366,17,,5,1,None-None-SharkEdge-None-7-60-LowRush,,,,,,,,,,,,,,,,,,
,,SharkEdge,,9-60,Kick,1,1,214,New,,,14,,383,153,17,,2,5,None-None-SharkEdge-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,SharkEdge,,3-60,Kick,1,1,214,⬇️ 23,,,14,,279,153,17,,3,5,None-None-SharkEdge-None-3-60-Kick,,,,,,,,,,,,,,,,,,
,,SharkEdge,,9-60,Elevate,1,1,214,New,,,14,,383,117,17,,2,7,None-None-SharkEdge-None-9-60-Elevate,,,,,,,,,,,,,,,,,,
,,SharkEdge,,3-60,LowRush,1,1,214,New,,,14,,279,366,17,,3,1,None-None-SharkEdge-None-3-60-LowRush,,,,,,,,,,,,,,,,,,
,,SharkEdge,,3-60,Level,1,1,214,New,,,14,,279,153,17,,3,5,None-None-SharkEdge-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,SharkEdge,,1-50,Jolt,1,1,214,New,,,14,,24,74,17,,12,9,None-None-SharkEdge-None-1-50-Jolt,,,,,,,,,,,,,,,,,,
Plastic,,Flare,Dual,9-60,Taper,1,1,214,New,,,11,1,383,17,19,6,2,14,Plastic-None-Flare-Dual-9-60-Taper,,,,,,,,,,,,,,,,,,
Plastic,,Flare,Heavy,3-60,LowRush,1,1,214,New,,,11,91,279,366,19,1,3,1,Plastic-None-Flare-Heavy-3-60-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Flare,Wheel,1-60,Level,1,1,214,New,,,11,22,539,153,19,2,1,5,Plastic-None-Flare-Wheel-1-60-Level,,,,,,,,,,,,,,,,,,
Plastic,,Flare,Wheel,7-60,LowRush,1,1,214,New,,,11,22,184,366,19,2,5,1,Plastic-None-Flare-Wheel-7-60-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Flare,Wheel,7-60,Kick,1,1,214,New,,,11,22,184,153,19,2,5,5,Plastic-None-Flare-Wheel-7-60-Kick,,,,,,,,,,,,,,,,,,
Plastic,,Flare,Wheel,9-60,LowRush,1,1,214,New,,,11,22,383,366,19,2,2,1,Plastic-None-Flare-Wheel-9-60-LowRush,,,,,,,,,,,,,,,,,,
,,KnightShield,,1-70,Hexa,1,1,214,New,,,3,,198,354,35,,4,2,None-None-KnightShield-None-1-70-Hexa,,,,,,,,,,,,,,,,,,
,,KnightShield,,3-60,FreeBall,1,1,214,New,,,3,,279,197,35,,3,4,None-None-KnightShield-None-3-60-FreeBall,,,,,,,,,,,,,,,,,,
,,KnightShield,,7-60,Hexa,1,1,214,New,,,3,,184,354,35,,5,2,None-None-KnightShield-None-7-60-Hexa,,,,,,,,,,,,,,,,,,
Metal,,Brave,Heavy,4-60,Level,1,1,214,New,,,5,91,4,153,28,1,18,5,Metal-None-Brave-Heavy-4-60-Level,,,,,,,,,,,,,,,,,,
Plastic,,Arc,Free,M-85,UnderNeedle,1,1,214,New,,,2,4,3,19,41,4,22,13,Plastic-None-Arc-Free-M-85-UnderNeedle,,,,,,,,,,,,,,,,,,
Plastic,,Arc,Free,9-60,FreeBall,1,1,214,New,,,2,4,383,197,41,4,2,4,Plastic-None-Arc-Free-9-60-FreeBall,,,,,,,,,,,,,,,,,,
,,KnightMail,,7-70,Taper,1,1,214,New,,,19,,52,17,15,,8,14,None-None-KnightMail-None-7-70-Taper,,,,,,,,,,,,,,,,,,
,,KnightMail,,1-60,LowRush,1,1,214,New,,,19,,539,366,15,,1,1,None-None-KnightMail-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,KnightMail,,5-60,Unite,1,1,214,New,,,19,,101,12,15,,6,15,None-None-KnightMail-None-5-60-Unite,,,,,,,,,,,,,,,,,,
,,KnightMail,,9-60,Kick,1,1,214,New,,,19,,383,153,15,,2,5,None-None-KnightMail-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,KnightMail,,5-60,Rush,1,1,214,New,,,19,,101,256,15,,6,3,None-None-KnightMail-None-5-60-Rush,,,,,,,,,,,,,,,,,,
,,KnightMail,,1-60,Kick,1,1,214,New,,,19,,539,153,15,,1,5,None-None-KnightMail-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,KnightMail,,7-60,Kick,1,1,214,New,,,19,,184,153,15,,5,5,None-None-KnightMail-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,KnightMail,,3-60,LowRush,1,1,214,⬇️ 23,,,19,,279,366,15,,3,1,None-None-KnightMail-None-3-60-LowRush,,,,,,,,,,,,,,,,,,
,,KnightMail,,3-60,Level,1,1,214,New,,,19,,279,153,15,,3,5,None-None-KnightMail-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,KnightMail,,7-60,Unite,1,1,214,New,,,19,,184,12,15,,5,15,None-None-KnightMail-None-7-60-Unite,,,,,,,,,,,,,,,,,,
,,KnightMail,,7-60,Hexa,1,1,214,⬇️ 136,,,19,,184,354,15,,5,2,None-None-KnightMail-None-7-60-Hexa,,,,,,,,,,,,,,,,,,
,,KnightMail,,0-60,Rush,1,1,214,New,,,19,,4,256,15,,18,3,None-None-KnightMail-None-0-60-Rush,,,,,,,,,,,,,,,,,,
,,KnightMail,,1-50,LowRush,1,1,214,New,,,19,,24,366,15,,12,1,None-None-KnightMail-None-1-50-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Hornet,Round,7-60,Taper,1,1,214,New,,,2,1,184,17,41,6,5,14,Plastic-None-Hornet-Round-7-60-Taper,,,,,,,,,,,,,,,,,,
Plastic,,Hornet,Wheel,3-60,FreeBall,1,1,214,New,,,2,22,279,197,41,2,3,4,Plastic-None-Hornet-Wheel-3-60-FreeBall,,,,,,,,,,,,,,,,,,
,,RedHulk,,1-80,Rush,1,1,214,New,,,4,,9,256,31,,15,3,None-None-RedHulk-None-1-80-Rush,,,,,,,,,,,,,,,,,,
,,RedHulk,,5-60,Point,1,1,214,New,,,4,,101,38,31,,6,12,None-None-RedHulk-None-5-60-Point,,,,,,,,,,,,,,,,,,
,,UnicornSting,,5-60,GearPoint,1,1,214,New,,,6,,101,3,25,,6,25,None-None-UnicornSting-None-5-60-GearPoint,,,,,,,,,,,,,,,,,,
,,UnicornSting,,6-60,Point,1,1,214,New,,,6,,53,38,25,,7,12,None-None-UnicornSting-None-6-60-Point,,,,,,,,,,,,,,,,,,
,,DranSword,,3-60,Flat,1,1,214,New,,,6,,279,6,25,,3,21,None-None-DranSword-None-3-60-Flat,,,,,,,,,,,,,,,,,,
,,DranSword,,9-60,Kick,1,1,214,New,,,6,,383,153,25,,2,5,None-None-DranSword-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,DranSword,,3-60,LowRush,1,1,214,New,,,6,,279,366,25,,3,1,None-None-DranSword-None-3-60-LowRush,,,,,,,,,,,,,,,,,,
,,DranSword,,3-60,Point,1,1,214,New,,,6,,279,38,25,,3,12,None-None-DranSword-None-3-60-Point,,,,,,,,,,,,,,,,,,
,,DranSword,,1-60,Rush,1,1,214,New,,,6,,539,256,25,,1,3,None-None-DranSword-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,DranSword,,1-70,Kick,1,1,214,New,,,6,,198,153,25,,4,5,None-None-DranSword-None-1-70-Kick,,,,,,,,,,,,,,,,,,
Metal,,Eclipse,Heavy,1-70,Jolt,1,1,214,New,,,8,91,198,74,21,1,4,9,Metal-None-Eclipse-Heavy-1-70-Jolt,,,,,,,,,,,,,,,,,,
Metal,,Eclipse,Heavy,5-60,Taper,1,1,214,New,,,8,91,101,17,21,1,6,14,Metal-None-Eclipse-Heavy-5-60-Taper,,,,,,,,,,,,,,,,,,
Metal,,Eclipse,Heavy,9-60,Rush,1,1,214,New,,,8,91,383,256,21,1,2,3,Metal-None-Eclipse-Heavy-9-60-Rush,,,,,,,,,,,,,,,,,,
Metal,,Eclipse,Heavy,9-60,Jolt,1,1,214,New,,,8,91,383,74,21,1,2,9,Metal-None-Eclipse-Heavy-9-60-Jolt,,,,,,,,,,,,,,,,,,
Metal,,Eclipse,Heavy,1-60,Kick,1,1,214,New,,,8,91,539,153,21,1,1,5,Metal-None-Eclipse-Heavy-1-60-Kick,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,9-70,GearPoint,1,1,214,New,,,19,,49,3,15,,9,25,None-None-OrochiCluster-None-9-70-GearPoint,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,9-60,Kick,1,1,214,New,,,19,,383,153,15,,2,5,None-None-OrochiCluster-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,9-60,Level,1,1,214,New,,,19,,383,153,15,,2,5,None-None-OrochiCluster-None-9-60-Level,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,3-70,Jolt,1,1,214,New,,,19,,13,74,15,,13,9,None-None-OrochiCluster-None-3-70-Jolt,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,3-70,Hexa,1,1,214,New,,,19,,13,354,15,,13,2,None-None-OrochiCluster-None-3-70-Hexa,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,4-50,Jolt,1,1,214,New,,,19,,48,74,15,,10,9,None-None-OrochiCluster-None-4-50-Jolt,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,4-50,Kick,1,1,214,New,,,19,,48,153,15,,10,5,None-None-OrochiCluster-None-4-50-Kick,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,1-60,Level,1,1,214,New,,,19,,539,153,15,,1,5,None-None-OrochiCluster-None-1-60-Level,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,9-70,Level,1,1,214,New,,,19,,49,153,15,,9,5,None-None-OrochiCluster-None-9-70-Level,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,7-60,LowRush,1,1,214,New,,,19,,184,366,15,,5,1,None-None-OrochiCluster-None-7-60-LowRush,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,9-70,Jolt,1,1,214,New,,,19,,49,74,15,,9,9,None-None-OrochiCluster-None-9-70-Jolt,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,1-80,Rush,1,1,214,New,,,19,,9,256,15,,15,3,None-None-OrochiCluster-None-1-80-Rush,,,,,,,,,,,,,,,,,,
,,OrochiCluster,,1-70,Taper,1,1,214,New,,,19,,198,17,15,,4,14,None-None-OrochiCluster-None-1-70-Taper,,,,,,,,,,,,,,,,,,
,,HellsScythe,,7-60,LowOrb,1,1,214,New,,,6,,184,85,25,,5,8,None-None-HellsScythe-None-7-60-LowOrb,,,,,,,,,,,,,,,,,,
,,HellsScythe,,5-60,Level,1,1,214,New,,,6,,101,153,25,,6,5,None-None-HellsScythe-None-5-60-Level,,,,,,,,,,,,,,,,,,
,,HellsScythe,,5-60,Point,1,1,214,New,,,6,,101,38,25,,6,12,None-None-HellsScythe-None-5-60-Point,,,,,,,,,,,,,,,,,,
,,HellsScythe,,9-60,Ball,1,1,214,New,,,6,,383,43,25,,2,10,None-None-HellsScythe-None-9-60-Ball,,,,,,,,,,,,,,,,,,
,,HellsScythe,,1-60,Wedge,1,1,214,New,,,6,,539,39,25,,1,11,None-None-HellsScythe-None-1-60-Wedge,,,,,,,,,,,,,,,,,,
,,HellsScythe,,3-60,UnderNeedle,1,1,214,New,,,6,,279,19,25,,3,13,None-None-HellsScythe-None-3-60-UnderNeedle,,,,,,,,,,,,,,,,,,
,,HellsHammer,,3-70,GearFlat,1,1,214,New,,,4,,13,2,31,,13,28,None-None-HellsHammer-None-3-70-GearFlat,,,,,,,,,,,,,,,,,,
,,HellsHammer,,3-60,Jolt,1,1,214,⬇️ 23,,,4,,279,74,31,,3,9,None-None-HellsHammer-None-3-60-Jolt,,,,,,,,,,,,,,,,,,
,,HellsHammer,,9-70,Point,1,1,214,New,,,4,,49,38,31,,9,12,None-None-HellsHammer-None-9-70-Point,,,,,,,,,,,,,,,,,,
,,HellsHammer,,3-60,Kick,1,1,214,New,,,4,,279,153,31,,3,5,None-None-HellsHammer-None-3-60-Kick,,,,,,,,,,,,,,,,,,
,,WyvernGale,,1-60,Level,1,1,214,New,,,3,,539,153,35,,1,5,None-None-WyvernGale-None-1-60-Level,,,,,,,,,,,,,,,,,,
,,WyvernGale,,9-60,FreeBall,1,1,214,New,,,3,,383,197,35,,2,4,None-None-WyvernGale-None-9-60-FreeBall,,,,,,,,,,,,,,,,,,
,,WyvernGale,,1-60,LowOrb,1,1,214,New,,,3,,539,85,35,,1,8,None-None-WyvernGale-None-1-60-LowOrb,,,,,,,,,,,,,,,,,,
Plastic,,Hunt,Heavy,7-60,Hexa,1,1,214,New,,,2,91,184,354,41,1,5,2,Plastic-None-Hunt-Heavy-7-60-Hexa,,,,,,,,,,,,,,,,,,
,,ImpactDrake,,7-70,Point,1,1,214,New,,,8,,52,38,21,,8,12,None-None-ImpactDrake-None-7-70-Point,,,,,,,,,,,,,,,,,,
,,ImpactDrake,,9-60,Kick,1,1,214,New,,,8,,383,153,21,,2,5,None-None-ImpactDrake-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,ImpactDrake,,7-55,Elevate,1,1,214,New,,,8,,27,117,21,,11,7,None-None-ImpactDrake-None-7-55-Elevate,,,,,,,,,,,,,,,,,,
,,ImpactDrake,,1-70,Hexa,1,1,214,New,,,8,,198,354,21,,4,2,None-None-ImpactDrake-None-1-70-Hexa,,,,,,,,,,,,,,,,,,
,,ImpactDrake,,3-60,LowRush,1,1,214,New,,,8,,279,366,21,,3,1,None-None-ImpactDrake-None-3-60-LowRush,,,,,,,,,,,,,,,,,,
,,ImpactDrake,,0-70,LowRush,1,1,214,New,,,8,,2,366,21,,26,1,None-None-ImpactDrake-None-0-70-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Eclipse,Jaggy,9-60,Kick,1,1,214,New,,,8,12,383,153,21,3,2,5,Plastic-None-Eclipse-Jaggy-9-60-Kick,,,,,,,,,,,,,,,,,,
Plastic,,Eclipse,Heavy,9-60,Jolt,1,1,214,New,,,8,91,383,74,21,1,2,9,Plastic-None-Eclipse-Heavy-9-60-Jolt,,,,,,,,,,,,,,,,,,
Plastic,,Eclipse,Zillion,3-60,Accel,1,1,214,New,,,8,1,279,3,21,6,3,25,Plastic-None-Eclipse-Zillion-3-60-Accel,,,,,,,,,,,,,,,,,,
,,WeissTiger,,9-60,Rush,1,1,214,New,,,4,,383,256,31,,2,3,None-None-WeissTiger-None-9-60-Rush,,,,,,,,,,,,,,,,,,
,,WeissTiger,,3-60,Level,1,1,214,New,,,4,,279,153,31,,3,5,None-None-WeissTiger-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,WeissTiger,,9-60,Wedge,1,1,214,New,,,4,,383,39,31,,2,11,None-None-WeissTiger-None-9-60-Wedge,,,,,,,,,,,,,,,,,,
,,WeissTiger,,6-60,Elevate,1,1,214,New,,,4,,53,117,31,,7,7,None-None-WeissTiger-None-6-60-Elevate,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,9-60,Rush,1,1,214,⬇️ 169,,,20,,383,256,14,,2,3,None-None-HoverWyvern-None-9-60-Rush,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,9-60,Level,1,1,214,New,,,20,,383,153,14,,2,5,None-None-HoverWyvern-None-9-60-Level,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,9-60,LowRush,1,1,214,⬇️ 23,,,20,,383,366,14,,2,1,None-None-HoverWyvern-None-9-60-LowRush,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,1-60,Rush,1,1,214,⬇️ 23,,,20,,539,256,14,,1,3,None-None-HoverWyvern-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,9-60,Jolt,1,1,214,⬇️ 23,,,20,,383,74,14,,2,9,None-None-HoverWyvern-None-9-60-Jolt,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,7-60,Point,1,1,214,New,,,20,,184,38,14,,5,12,None-None-HoverWyvern-None-7-60-Point,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,1-70,Kick,1,1,214,⬇️ 23,,,20,,198,153,14,,4,5,None-None-HoverWyvern-None-1-70-Kick,,,,,,,,,,,,,,,,,,
,,HoverWyvern,,3-60,LowRush,1,1,214,New,,,20,,279,366,14,,3,1,None-None-HoverWyvern-None-3-60-LowRush,,,,,,,,,,,,,,,,,,
,,WhaleWave,,M-85,BoundSpike,1,1,214,New,,,5,,3,1,28,,22,34,None-None-WhaleWave-None-M-85-BoundSpike,,,,,,,,,,,,,,,,,,
